gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,average_score,performance_level,pass_status,reading_math_gap,average_score_z,outlier_status
male,group d,some college,standard,completed,58,59,58,58.333333333333336,low,pass,1,-0.6622599183118032,normal
female,group c,some high school,free/reduced,none,0,17,10,9.0,low,fail,17,-4.124200717624709,outlier
male,group e,bachelor's degree,free/reduced,completed,79,74,72,75.0,medium,pass,-5,0.5073146760506649,normal
male,group a,some high school,free/reduced,none,39,39,34,37.333333333333336,low,fail,0,-2.135923907208513,outlier
male,group a,associate's degree,free/reduced,none,62,61,55,59.333333333333336,low,pass,-1,-0.592085442650055,normal
female,group c,associate's degree,standard,none,69,80,71,73.33333333333333,medium,pass,11,0.3903572166144178,normal
female,group d,some high school,standard,none,59,58,59,58.666666666666664,low,pass,-1,-0.6388684264245541,normal
male,group b,some high school,standard,none,67,64,61,64.0,medium,pass,-3,-0.2646045562285641,normal
male,group d,some high school,free/reduced,none,45,37,37,39.666666666666664,low,fail,-8,-1.972183463997768,normal
female,group c,some college,standard,none,60,72,74,68.66666666666667,medium,pass,12,0.06287633019292735,normal
male,group b,associate's degree,free/reduced,none,61,58,56,58.333333333333336,low,pass,-3,-0.6622599183118032,normal
female,group c,associate's degree,standard,none,39,64,57,53.333333333333336,low,pass,25,-1.0131322966205436,normal
female,group d,some college,free/reduced,completed,58,63,73,64.66666666666667,medium,pass,5,-0.21782157245406505,normal
male,group d,some college,standard,completed,63,55,63,60.333333333333336,medium,pass,-8,-0.521910966988307,normal
female,group a,associate's degree,free/reduced,none,41,51,48,46.666666666666664,low,pass,10,-1.4809621343655313,normal
male,group c,some high school,free/reduced,none,61,57,56,58.0,low,pass,-4,-0.6856514101990527,normal
male,group c,some high school,standard,none,49,49,41,46.333333333333336,low,pass,0,-1.5043536262527804,normal
male,group b,associate's degree,free/reduced,none,44,41,38,41.0,low,pass,-3,-1.8786174964487703,normal
male,group e,some high school,standard,none,30,26,22,26.0,low,fail,-4,-2.9312346313749917,outlier
male,group a,bachelor's degree,standard,completed,80,78,81,79.66666666666667,medium,pass,-2,0.8347955624721565,normal
female,group d,some high school,standard,completed,61,74,72,69.0,medium,pass,13,0.08626782208017639,normal
female,group e,master's degree,standard,none,62,68,68,66.0,medium,pass,6,-0.12425560490506792,normal
female,group b,associate's degree,standard,none,47,49,50,48.666666666666664,low,pass,2,-1.3406131830420351,normal
male,group b,high school,free/reduced,none,49,45,45,46.333333333333336,low,pass,-4,-1.5043536262527804,normal
male,group a,some college,free/reduced,completed,50,47,54,50.333333333333336,low,pass,-3,-1.223655723605788,normal
male,group e,associate's degree,standard,none,72,64,63,66.33333333333333,medium,pass,-8,-0.10086411301781888,normal
male,group d,high school,free/reduced,none,42,39,34,38.333333333333336,low,fail,-3,-2.0657494315467653,outlier
female,group c,some college,standard,none,73,80,82,78.33333333333333,medium,pass,7,0.7412295949231583,normal
female,group c,some college,free/reduced,none,76,83,88,82.33333333333333,high,pass,7,1.0219274975701507,normal
female,group d,associate's degree,standard,none,71,71,74,72.0,medium,pass,0,0.2967912490654207,normal
female,group a,some college,standard,none,58,70,67,65.0,medium,pass,12,-0.19443008056681602,normal
female,group d,some high school,standard,none,73,86,82,80.33333333333333,high,pass,13,0.8815785462466545,normal
female,group c,bachelor's degree,standard,none,65,72,74,70.33333333333333,medium,pass,7,0.1798337896291735,normal
male,group c,high school,free/reduced,none,27,34,36,32.333333333333336,low,fail,7,-2.486796285517254,outlier
male,group c,high school,standard,none,71,79,71,73.66666666666667,medium,pass,8,0.41374870850166784,normal
male,group c,associate's degree,free/reduced,completed,43,45,50,46.0,low,pass,2,-1.52774511814003,normal
female,group b,some college,standard,none,79,86,92,85.66666666666667,high,pass,7,1.255842416442645,normal
male,group c,associate's degree,free/reduced,completed,78,81,82,80.33333333333333,high,pass,3,0.8815785462466545,normal
male,group b,some high school,standard,completed,65,66,62,64.33333333333333,medium,pass,1,-0.24121306434131506,normal
female,group e,some college,standard,completed,63,72,70,68.33333333333333,medium,pass,9,0.03948483830567732,normal
female,group d,some college,free/reduced,none,58,67,62,62.333333333333336,medium,pass,9,-0.3815620156648108,normal
female,group d,bachelor's degree,standard,none,65,67,62,64.66666666666667,medium,pass,2,-0.21782157245406505,normal
male,group b,some college,standard,none,79,67,67,71.0,medium,pass,-12,0.2266167734036726,normal
male,group d,bachelor's degree,standard,completed,68,74,74,72.0,medium,pass,6,0.2967912490654207,normal
female,group d,associate's degree,standard,none,85,91,89,88.33333333333333,high,pass,6,1.4429743515406392,normal
male,group b,high school,standard,completed,60,44,47,50.333333333333336,low,pass,-16,-1.223655723605788,normal
male,group c,some college,standard,completed,98,86,90,91.33333333333333,high,pass,-12,1.6534977785258835,normal
female,group c,some college,standard,none,58,67,72,65.66666666666667,medium,pass,9,-0.14764709679231694,normal
female,group d,master's degree,standard,none,87,100,100,95.66666666666667,high,pass,13,1.957587173060126,normal
male,group e,associate's degree,standard,completed,66,63,64,64.33333333333333,medium,pass,-3,-0.24121306434131506,normal
female,group b,associate's degree,free/reduced,none,52,76,70,66.0,medium,pass,24,-0.12425560490506792,normal
female,group b,some high school,standard,none,70,64,72,68.66666666666667,medium,pass,-6,0.06287633019292735,normal
female,group d,associate's degree,free/reduced,completed,77,89,98,88.0,high,pass,12,1.4195828596533902,normal
male,group c,high school,standard,none,62,55,49,55.333333333333336,low,pass,-7,-0.8727833452970475,normal
male,group a,associate's degree,standard,none,54,53,47,51.333333333333336,low,pass,-1,-1.15348124794404,normal
female,group d,some college,standard,none,51,58,54,54.333333333333336,low,pass,7,-0.9429578209587955,normal
female,group e,bachelor's degree,standard,completed,99,100,100,99.66666666666667,high,pass,1,2.238285075707118,outlier
male,group c,high school,standard,none,84,77,74,78.33333333333333,medium,pass,-7,0.7412295949231583,normal
female,group b,bachelor's degree,free/reduced,none,75,85,82,80.66666666666667,high,pass,10,0.9049700381339045,normal
female,group d,bachelor's degree,standard,none,78,82,79,79.66666666666667,medium,pass,4,0.8347955624721565,normal
female,group d,some high school,standard,none,51,63,61,58.333333333333336,low,pass,12,-0.6622599183118032,normal
female,group c,some college,standard,none,55,69,65,63.0,medium,pass,14,-0.3347790318903122,normal
female,group c,bachelor's degree,standard,completed,79,92,89,86.66666666666667,high,pass,13,1.326016892104393,normal
male,group b,associate's degree,standard,completed,91,89,92,90.66666666666667,high,pass,-2,1.6067147947513856,normal
female,group c,some college,standard,completed,88,93,93,91.33333333333333,high,pass,5,1.6534977785258835,normal
male,group d,high school,free/reduced,none,63,57,56,58.666666666666664,low,pass,-6,-0.6388684264245541,normal
male,group e,some college,standard,none,83,80,73,78.66666666666667,medium,pass,-3,0.7646210868104083,normal
female,group b,high school,standard,none,87,95,86,89.33333333333333,high,pass,8,1.5131488272023874,normal
male,group b,some high school,standard,none,72,68,67,69.0,medium,pass,-4,0.08626782208017639,normal
male,group d,some college,standard,completed,65,77,74,72.0,medium,pass,12,0.2967912490654207,normal
male,group d,master's degree,standard,none,82,82,74,79.33333333333333,medium,pass,0,0.8114040705849064,normal
female,group a,bachelor's degree,standard,none,51,49,51,50.333333333333336,low,pass,-2,-1.223655723605788,normal
male,group d,master's degree,standard,none,89,84,82,85.0,high,pass,-5,1.2090594326681459,normal
male,group c,some high school,free/reduced,completed,53,37,40,43.333333333333336,low,pass,-16,-1.7148770532380246,normal
male,group e,some college,free/reduced,completed,87,74,70,77.0,medium,pass,-13,0.6476636273741612,normal
female,group c,some college,standard,completed,75,81,84,80.0,high,pass,6,0.8581870543594055,normal
male,group d,bachelor's degree,free/reduced,completed,74,79,75,76.0,medium,pass,5,0.5774891517124131,normal
male,group c,bachelor's degree,standard,none,58,55,48,53.666666666666664,low,pass,-3,-0.9897408047332946,normal
male,group b,some high school,standard,completed,51,54,41,48.666666666666664,low,pass,3,-1.3406131830420351,normal
male,group e,high school,standard,none,70,55,56,60.333333333333336,medium,pass,-15,-0.521910966988307,normal
female,group c,associate's degree,standard,none,59,66,67,64.0,medium,pass,7,-0.2646045562285641,normal
male,group d,some college,standard,completed,71,61,69,67.0,medium,pass,-10,-0.054081129243319814,normal
female,group d,some high school,standard,none,76,72,71,73.0,medium,pass,-4,0.36696572472716876,normal
female,group c,some college,free/reduced,none,59,62,64,61.666666666666664,medium,pass,3,-0.4283449994393098,normal
female,group e,some college,free/reduced,completed,42,55,54,50.333333333333336,low,pass,13,-1.223655723605788,normal
male,group a,high school,standard,none,57,43,47,49.0,low,pass,-14,-1.3172216911547856,normal
male,group d,some college,standard,none,88,73,78,79.66666666666667,medium,pass,-15,0.8347955624721565,normal
female,group c,some college,free/reduced,none,22,39,33,31.333333333333332,low,fail,17,-2.5569707611790022,outlier
male,group b,some high school,standard,none,88,84,75,82.33333333333333,high,pass,-4,1.0219274975701507,normal
male,group c,associate's degree,free/reduced,none,73,68,66,69.0,medium,pass,-5,0.08626782208017639,normal
female,group d,bachelor's degree,standard,completed,68,75,81,74.66666666666667,medium,pass,7,0.48392318416341595,normal
male,group e,associate's degree,free/reduced,completed,100,100,93,97.66666666666667,high,pass,0,2.0979361243836223,outlier
male,group a,some high school,standard,completed,62,67,69,66.0,medium,pass,5,-0.12425560490506792,normal
male,group a,bachelor's degree,standard,none,77,67,68,70.66666666666667,medium,pass,-10,0.20322528151642355,normal
female,group b,associate's degree,standard,completed,59,70,66,65.0,medium,pass,11,-0.19443008056681602,normal
male,group d,bachelor's degree,standard,none,54,49,47,50.0,low,pass,-5,-1.2470472154930374,normal
male,group d,some high school,standard,none,62,67,61,63.333333333333336,medium,pass,5,-0.3113875400030627,normal
female,group c,some college,standard,completed,70,89,88,82.33333333333333,high,pass,19,1.0219274975701507,normal
female,group e,high school,free/reduced,completed,66,74,78,72.66666666666667,medium,pass,8,0.3435742328399197,normal
male,group b,some college,free/reduced,none,60,60,60,60.0,medium,pass,0,-0.5453024588755565,normal
female,group b,associate's degree,standard,completed,61,86,87,78.0,medium,pass,25,0.7178381030359092,normal
male,group d,associate's degree,free/reduced,none,66,62,64,64.0,medium,pass,-4,-0.2646045562285641,normal
male,group b,associate's degree,free/reduced,completed,82,78,74,78.0,medium,pass,-4,0.7178381030359092,normal
female,group e,some college,free/reduced,completed,75,88,85,82.66666666666667,high,pass,13,1.0453189894574006,normal
male,group b,master's degree,free/reduced,none,49,53,52,51.333333333333336,low,pass,4,-1.15348124794404,normal
male,group c,high school,standard,none,52,53,49,51.333333333333336,low,pass,1,-1.15348124794404,normal
female,group e,master's degree,standard,none,81,92,91,88.0,high,pass,11,1.4195828596533902,normal
female,group c,bachelor's degree,standard,completed,96,100,100,98.66666666666667,high,pass,4,2.1681106000453703,outlier
male,group c,high school,free/reduced,completed,53,51,51,51.666666666666664,low,pass,-2,-1.1300897560567909,normal
female,group b,master's degree,free/reduced,completed,58,76,78,70.66666666666667,medium,pass,18,0.20322528151642355,normal
female,group b,high school,standard,completed,68,83,78,76.33333333333333,medium,pass,15,0.6008806435996621,normal
female,group c,some college,free/reduced,completed,67,75,70,70.66666666666667,medium,pass,8,0.20322528151642355,normal
male,group a,high school,standard,completed,72,73,74,73.0,medium,pass,1,0.36696572472716876,normal
male,group e,some high school,standard,none,94,88,78,86.66666666666667,high,pass,-6,1.326016892104393,normal
female,group d,some college,standard,none,79,86,81,82.0,high,pass,7,0.9985360056829017,normal
female,group c,associate's degree,standard,none,63,67,70,66.66666666666667,medium,pass,4,-0.07747262113056885,normal
female,group c,bachelor's degree,free/reduced,completed,43,51,54,49.333333333333336,low,pass,8,-1.293830199267536,normal
female,group c,master's degree,standard,completed,81,91,87,86.33333333333333,high,pass,10,1.3026254002171431,normal
female,group b,high school,free/reduced,completed,46,54,58,52.666666666666664,low,pass,8,-1.0599152803950427,normal
female,group c,associate's degree,standard,completed,71,77,77,75.0,medium,pass,6,0.5073146760506649,normal
female,group b,master's degree,free/reduced,completed,52,70,62,61.333333333333336,medium,pass,18,-0.45173649132655885,normal
female,group d,some high school,standard,completed,97,100,100,99.0,high,pass,3,2.191502091932619,outlier
male,group c,master's degree,free/reduced,completed,62,68,75,68.33333333333333,medium,pass,6,0.03948483830567732,normal
female,group c,some college,free/reduced,none,46,64,66,58.666666666666664,low,pass,18,-0.6388684264245541,normal
female,group e,high school,standard,none,50,50,47,49.0,low,pass,0,-1.3172216911547856,normal
female,group d,associate's degree,standard,none,65,69,70,68.0,medium,pass,4,0.016093346418428283,normal
male,group c,some high school,free/reduced,completed,45,52,49,48.666666666666664,low,pass,7,-1.3406131830420351,normal
male,group c,associate's degree,free/reduced,completed,65,67,65,65.66666666666667,medium,pass,2,-0.14764709679231694,normal
male,group e,high school,standard,none,80,76,65,73.66666666666667,medium,pass,-4,0.41374870850166784,normal
male,group d,some high school,standard,completed,62,66,68,65.33333333333333,medium,pass,4,-0.17103858867956698,normal
male,group b,some high school,free/reduced,none,48,52,45,48.333333333333336,low,pass,4,-1.3640046749292842,normal
female,group c,bachelor's degree,standard,none,77,88,87,84.0,high,pass,11,1.138884957006398,normal
female,group e,associate's degree,standard,none,66,65,69,66.66666666666667,medium,pass,-1,-0.07747262113056885,normal
male,group d,some college,standard,completed,76,83,79,79.33333333333333,medium,pass,7,0.8114040705849064,normal
female,group b,some high school,standard,none,62,64,66,64.0,medium,pass,2,-0.2646045562285641,normal
male,group d,some college,standard,completed,77,62,62,67.0,medium,pass,-15,-0.054081129243319814,normal
female,group c,master's degree,standard,completed,69,84,85,79.33333333333333,medium,pass,15,0.8114040705849064,normal
male,group d,associate's degree,standard,none,61,55,52,56.0,low,pass,-6,-0.8260003615225489,normal
male,group c,some high school,free/reduced,completed,59,69,65,64.33333333333333,medium,pass,10,-0.24121306434131506,normal
male,group e,high school,free/reduced,none,55,56,51,54.0,low,pass,1,-0.9663493128460451,normal
female,group b,some college,free/reduced,none,45,53,55,51.0,low,pass,8,-1.1768727398312895,normal
female,group b,bachelor's degree,free/reduced,none,78,79,76,77.66666666666667,medium,pass,1,0.6944466111486602,normal
female,group c,associate's degree,standard,completed,67,84,86,79.0,medium,pass,17,0.7880125786976574,normal
female,group d,some college,free/reduced,none,65,81,77,74.33333333333333,medium,pass,16,0.4605316922761659,normal
male,group c,associate's degree,standard,none,69,77,69,71.66666666666667,medium,pass,8,0.27339975717817167,normal
female,group b,associate's degree,standard,none,57,69,68,64.66666666666667,medium,pass,12,-0.21782157245406505,normal
male,group c,some college,standard,none,59,41,42,47.333333333333336,low,pass,-18,-1.4341791505910322,normal
male,group d,some high school,standard,completed,74,71,78,74.33333333333333,medium,pass,-3,0.4605316922761659,normal
male,group e,bachelor's degree,standard,none,82,62,62,68.66666666666667,medium,pass,-20,0.06287633019292735,normal
male,group e,high school,standard,completed,81,80,76,79.0,medium,pass,-1,0.7880125786976574,normal
female,group b,some college,free/reduced,none,74,81,76,77.0,medium,pass,7,0.6476636273741612,normal
female,group b,some college,free/reduced,none,58,61,66,61.666666666666664,medium,pass,3,-0.4283449994393098,normal
male,group d,some high school,free/reduced,completed,80,79,79,79.33333333333333,medium,pass,-1,0.8114040705849064,normal
male,group c,some college,free/reduced,none,35,28,27,30.0,low,fail,-7,-2.6505367287279995,outlier
female,group c,high school,free/reduced,none,42,62,60,54.666666666666664,low,pass,20,-0.9195663290715466,normal
male,group c,associate's degree,free/reduced,completed,60,51,56,55.666666666666664,low,pass,-9,-0.8493918534097984,normal
male,group e,high school,standard,completed,87,91,81,86.33333333333333,high,pass,4,1.3026254002171431,normal
male,group b,some high school,standard,completed,84,83,75,80.66666666666667,high,pass,-1,0.9049700381339045,normal
female,group e,associate's degree,free/reduced,completed,83,86,88,85.66666666666667,high,pass,3,1.255842416442645,normal
female,group c,high school,free/reduced,none,34,42,39,38.333333333333336,low,fail,8,-2.0657494315467653,outlier
male,group b,high school,free/reduced,none,66,77,70,71.0,medium,pass,11,0.2266167734036726,normal
male,group b,some high school,standard,completed,61,56,56,57.666666666666664,low,pass,-5,-0.7090429020863023,normal
female,group d,high school,standard,completed,56,68,74,66.0,medium,pass,12,-0.12425560490506792,normal
male,group b,associate's degree,standard,none,87,85,73,81.66666666666667,high,pass,-2,0.9751445137956526,normal
female,group c,some high school,free/reduced,none,55,65,62,60.666666666666664,medium,pass,10,-0.49851947510105793,normal
male,group d,some high school,standard,none,86,80,75,80.33333333333333,high,pass,-6,0.8815785462466545,normal
female,group b,associate's degree,standard,completed,52,66,73,63.666666666666664,medium,pass,14,-0.28799604811581364,normal
female,group e,master's degree,free/reduced,none,45,56,54,51.666666666666664,low,pass,11,-1.1300897560567909,normal
female,group c,some college,standard,none,72,72,71,71.66666666666667,medium,pass,0,0.27339975717817167,normal
male,group d,high school,standard,none,57,50,54,53.666666666666664,low,pass,-7,-0.9897408047332946,normal
male,group a,some high school,free/reduced,none,68,72,64,68.0,medium,pass,4,0.016093346418428283,normal
female,group c,some college,standard,completed,88,95,94,92.33333333333333,high,pass,7,1.7236722541876317,normal
male,group d,some college,standard,none,76,64,66,68.66666666666667,medium,pass,-12,0.06287633019292735,normal
male,group c,associate's degree,standard,none,46,43,42,43.666666666666664,low,pass,-3,-1.6914855613507755,normal
female,group b,bachelor's degree,standard,none,67,86,83,78.66666666666667,medium,pass,19,0.7646210868104083,normal
male,group e,some high school,standard,none,92,87,78,85.66666666666667,high,pass,-5,1.255842416442645,normal
male,group c,bachelor's degree,standard,completed,83,82,84,83.0,high,pass,-1,1.0687104813446497,normal
male,group d,associate's degree,standard,none,80,75,77,77.33333333333333,medium,pass,-5,0.6710551192614101,normal
male,group d,bachelor's degree,free/reduced,none,63,66,67,65.33333333333333,medium,pass,3,-0.17103858867956698,normal
female,group d,some high school,standard,completed,64,60,74,66.0,medium,pass,-4,-0.12425560490506792,normal
male,group b,some college,standard,none,54,52,51,52.333333333333336,low,pass,-2,-1.0833067722822918,normal
male,group c,associate's degree,standard,none,84,80,80,81.33333333333333,high,pass,-4,0.9517530219084026,normal
male,group d,high school,free/reduced,completed,73,68,66,69.0,medium,pass,-5,0.08626782208017639,normal
female,group e,bachelor's degree,standard,none,80,83,83,82.0,high,pass,3,0.9985360056829017,normal
female,group d,high school,standard,none,56,52,55,54.333333333333336,low,pass,-4,-0.9429578209587955,normal
male,group e,some college,standard,none,59,51,43,51.0,low,pass,-8,-1.1768727398312895,normal
male,group d,some high school,standard,none,75,74,69,72.66666666666667,medium,pass,-1,0.3435742328399197,normal
male,group c,associate's degree,standard,none,85,76,71,77.33333333333333,medium,pass,-9,0.6710551192614101,normal
male,group e,associate's degree,standard,none,89,76,74,79.66666666666667,medium,pass,-13,0.8347955624721565,normal
female,group b,high school,standard,completed,58,70,68,65.33333333333333,medium,pass,12,-0.17103858867956698,normal
female,group b,high school,standard,none,65,64,62,63.666666666666664,medium,pass,-1,-0.28799604811581364,normal
male,group c,high school,standard,none,68,60,53,60.333333333333336,medium,pass,-8,-0.521910966988307,normal
male,group a,some high school,standard,completed,47,49,49,48.333333333333336,low,pass,2,-1.3640046749292842,normal
female,group d,some college,free/reduced,none,71,83,83,79.0,medium,pass,12,0.7880125786976574,normal
female,group b,some high school,standard,completed,60,70,70,66.66666666666667,medium,pass,10,-0.07747262113056885,normal
male,group d,master's degree,standard,none,80,80,72,77.33333333333333,medium,pass,0,0.6710551192614101,normal
male,group d,high school,standard,none,54,52,52,52.666666666666664,low,pass,-2,-1.0599152803950427,normal
female,group e,some college,standard,none,62,73,70,68.33333333333333,medium,pass,11,0.03948483830567732,normal
female,group c,associate's degree,free/reduced,none,64,73,68,68.33333333333333,medium,pass,9,0.03948483830567732,normal
male,group c,associate's degree,standard,completed,78,77,77,77.33333333333333,medium,pass,-1,0.6710551192614101,normal
female,group b,some college,standard,none,70,75,78,74.33333333333333,medium,pass,5,0.4605316922761659,normal
female,group c,master's degree,free/reduced,completed,65,81,81,75.66666666666667,medium,pass,16,0.554097659825164,normal
female,group c,some high school,free/reduced,completed,64,79,77,73.33333333333333,medium,pass,15,0.3903572166144178,normal
male,group c,some college,standard,completed,79,79,78,78.66666666666667,medium,pass,0,0.7646210868104083,normal
female,group c,some high school,free/reduced,none,44,50,51,48.333333333333336,low,pass,6,-1.3640046749292842,normal
female,group e,high school,standard,none,99,93,90,94.0,high,pass,-6,1.8406297136238787,normal
male,group d,high school,standard,none,76,73,68,72.33333333333333,medium,pass,-3,0.3201827409526697,normal
male,group d,some high school,free/reduced,none,59,42,41,47.333333333333336,low,pass,-17,-1.4341791505910322,normal
female,group c,bachelor's degree,standard,none,63,75,81,73.0,medium,pass,12,0.36696572472716876,normal
female,group d,high school,standard,none,69,72,77,72.66666666666667,medium,pass,3,0.3435742328399197,normal
female,group d,associate's degree,standard,completed,88,92,95,91.66666666666667,high,pass,4,1.6768892704131335,normal
female,group e,some college,free/reduced,none,71,76,70,72.33333333333333,medium,pass,5,0.3201827409526697,normal
male,group c,bachelor's degree,standard,none,69,63,61,64.33333333333333,medium,pass,-6,-0.24121306434131506,normal
male,group c,some college,standard,none,58,49,42,49.666666666666664,low,pass,-9,-1.270438707380287,normal
female,group d,associate's degree,free/reduced,none,47,53,58,52.666666666666664,low,pass,6,-1.0599152803950427,normal
female,group d,some college,standard,none,65,70,71,68.66666666666667,medium,pass,5,0.06287633019292735,normal
male,group b,some college,standard,completed,88,85,76,83.0,high,pass,-3,1.0687104813446497,normal
male,group c,bachelor's degree,standard,none,83,78,73,78.0,medium,pass,-5,0.7178381030359092,normal
female,group c,some high school,standard,completed,85,92,93,90.0,high,pass,7,1.5599318109768865,normal
female,group e,high school,standard,completed,59,63,75,65.66666666666667,medium,pass,4,-0.14764709679231694,normal
female,group c,some high school,free/reduced,none,65,86,80,77.0,medium,pass,21,0.6476636273741612,normal
male,group b,bachelor's degree,free/reduced,none,73,56,57,62.0,medium,pass,-17,-0.40495350755206033,normal
male,group d,high school,standard,none,53,52,42,49.0,low,pass,-1,-1.3172216911547856,normal
male,group d,high school,standard,none,45,48,46,46.333333333333336,low,pass,3,-1.5043536262527804,normal
